subject_id,gender,trial,action,block,violator,victim,cost,ratio,rt
2,女,21,0,2,8,2,5,3,0.1833
2,女,22,0,2,6,4,2,3,0.05551
2,女,23,0,2,7,3,4,1,0.20139
2,女,24,0,2,9,1,1,1,0.238285
2,女,25,0,2,9,1,5,1,0.2
2,女,26,0,2,6,4,1,1,0.188035
2,女,27,0,2,9,1,4,3,0.1873
2,女,28,0,2,7,3,3,3,0.05376
2,女,29,0,2,5,5,3,1,0.11456
2,女,30,0,2,5,5,3,3,0.03698
2,女,31,0,2,5,5,2,1,0.05924
2,女,32,0,2,6,4,5,1,1.01834
2,女,33,0,2,8,2,3,3,0.131595
2,女,34,0,2,7,3,2,1,0.201165
2,女,35,0,2,7,3,5,3,0.25597
2,女,36,0,2,7,3,1,3,0.05453
2,女,37,0,2,6,4,5,3,0.15244
2,女,38,0,2,9,1,2,3,0.237215
2,女,39,0,2,5,5,5,1,0.018825
2,女,40,0,2,5,5,4,1,0.25307
2,女,41,0,2,5,5,5,3,0.205365
2,女,42,0,2,6,4,1,3,0.0998
2,女,43,0,2,7,3,5,1,0.01705
2,女,44,0,2,9,1,1,3,0.188845
2,女,45,0,2,8,2,5,1,0.089295
2,女,46,0,2,7,3,4,3,0.61536
2,女,47,0,2,5,5,4,3,0.184975
2,女,48,0,2,7,3,3,1,0.139115
2,女,49,0,2,5,5,2,3,0.1001
2,女,50,0,2,9,1,2,1,0.13251
2,女,51,0,1,6,4,4,1,0.43986
2,女,52,0,1,7,3,4,1,0.28548
2,女,53,0,1,8,2,5,1,0.28425
2,女,54,0,1,5,5,5,1,0.350505
2,女,55,0,1,6,4,5,3,0.3679
2,女,56,0,1,8,2,2,3,1.634215
2,女,57,0,1,9,1,1,3,0.367685
2,女,58,0,1,5,5,4,1,0.217155
2,女,59,0,1,6,4,1,1,0.151645
2,女,60,0,1,7,3,5,1,0.584675
2,女,61,0,1,5,5,4,3,0.266795
2,女,62,0,1,9,1,5,1,0.12123
2,女,63,0,1,8,2,4,3,0.00085
2,女,64,0,1,7,3,1,1,0.02225
2,女,65,0,1,9,1,2,1,0.07139
2,女,66,0,1,9,1,5,3,0.223465
2,女,67,0,1,6,4,3,1,0.21713
2,女,68,0,1,9,1,1,1,0.270565
2,女,69,0,1,5,5,3,1,0.16715
2,女,70,0,1,9,1,3,1,0.40038
2,女,71,0,1,6,4,5,1,0.233415
2,女,72,0,1,8,2,5,3,0.10119
2,女,73,0,1,6,4,2,1,0.318125
2,女,74,0,1,9,1,2,3,0.268465
2,女,75,0,1,7,3,4,3,0.2003
2,女,76,0,1,7,3,1,3,0.31986
2,女,77,0,1,7,3,2,1,8.65079
2,女,78,0,1,8,2,1,1,1.85026
2,女,79,0,1,9,1,4,3,0.4347
2,女,80,0,1,5,5,3,3,0.93309
2,女,81,0,1,8,2,4,1,0.201355
2,女,82,0,1,6,4,1,3,0.017365
2,女,83,0,1,5,5,1,3,0.300785
2,女,84,0,1,9,1,4,1,0.067505
2,女,85,0,1,8,2,3,1,2.15053
2,女,86,0,1,5,5,5,3,0.374275
2,女,87,0,1,5,5,2,1,4.55235
2,女,88,0,1,6,4,4,3,0.300915
2,女,89,0,1,8,2,3,3,0.36786
2,女,90,0,1,8,2,1,3,0.800815
2,女,91,0,1,7,3,3,3,0.300215
2,女,92,0,1,9,1,3,3,0.4335
2,女,93,0,1,6,4,3,3,0.135235
2,女,94,0,1,6,4,2,3,3.733445
2,女,95,0,1,5,5,2,3,3.417375
2,女,96,0,1,7,3,2,3,0.250225
2,女,97,0,1,5,5,1,1,0.270935
2,女,98,0,1,7,3,5,3,0.433475
2,女,99,0,1,7,3,3,1,0.218175
2,女,100,0,1,8,2,2,1,0.18402
3,男,1,1,1,6,4,2,3,4.609355
3,男,2,0,1,5,5,2,3,1.784685
3,男,3,0,1,5,5,3,1,0.45064
3,男,4,0,1,9,1,2,1,0.852015
3,男,5,0,1,7,3,3,1,0.700665
3,男,6,0,1,7,3,4,3,0.00094
3,男,7,0,1,8,2,3,3,0.082665
3,男,8,0,1,5,5,4,3,0.10434
3,男,9,0,1,6,4,2,1,0.385505
3,男,10,1,1,8,2,5,1,1.49325
3,男,11,0,1,7,3,3,3,0.950265
3,男,12,0,1,5,5,4,1,0.75856
3,男,13,0,1,6,4,4,1,1.63223
3,男,14,0,1,8,2,1,1,1.084655
3,男,15,0,1,9,1,3,3,3.682935
3,男,16,0,1,7,3,2,1,0.65408
3,男,17,0,1,5,5,1,1,0.00626
3,男,18,0,1,7,3,1,1,0.36667
3,男,19,0,1,5,5,3,3,0.754515
3,男,20,0,1,5,5,1,3,0.64174
3,男,21,0,1,5,5,5,1,0.343155
3,男,22,0,1,6,4,3,1,0.25139
3,男,23,0,1,7,3,5,3,0.083245
3,男,24,0,1,5,5,5,3,0.17123
3,男,25,0,1,8,2,3,1,0.156775
3,男,26,0,1,9,1,2,3,0.16655
3,男,27,0,1,6,4,1,3,2.533735
3,男,28,0,1,6,4,1,1,1.683265
3,男,29,1,1,8,2,1,3,1.275535
3,男,30,0,1,5,5,2,1,0.34126
3,男,31,0,1,7,3,5,1,9.65979
3,男,32,0,1,9,1,5,1,2.099445
3,男,33,0,1,9,1,5,3,1.416705
3,男,34,1,1,8,2,2,3,6.03368
3,男,35,1,1,9,1,3,1,1.98297
3,男,36,0,1,8,2,2,1,1.932865
